base,winner,cfr_total,vf_total,pr_total,winner_lines,winner_hard,winner_struct,winner_goto,winner_bytecode,winner_ext,cfr_present,vf_present,pr_present
com/htmake/reader/ReaderApplication,vf,-53.44,-100.78,-50.74,64,0,0,0,0,.kt,1,1,1
com/htmake/reader/ReaderApplicationKt,vf,-42.76,-93.28,-41.64,14,0,0,0,0,.kt,1,1,1
com/htmake/reader/SpringEvent,cfr,-45.78,-45.62,-45.72,39,0,0,0,0,.java,1,1,1
com/htmake/reader/api/ReturnData,vf,-49.80,-94.52,-47.14,26,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/YueduApi,vf,6492.00,-314.98,-189.90,1124,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/YueduApiKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BaseController,pr,4120.50,110239.92,-232.20,710,0,0,0,0,.java,1,1,1
com/htmake/reader/api/controller/BaseControllerKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BookController,vf,93912.00,7430.00,183632.00,13139,9,0,67,787,.kt,1,1,1
com/htmake/reader/api/controller/BookControllerKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BookGroupController,vf,1110.00,-183.82,1553.95,241,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BookGroupControllerKt,cfr,-41.52,-41.14,-40.46,26,0,0,0,0,.java,1,1,1
com/htmake/reader/api/controller/BookSourceController,vf,12630.00,-551.34,623.10,1492,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BookSourceControllerKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BookmarkController,vf,-66.12,-121.62,-63.24,81,0,0,0,0,.kt,1,1,1
com/htmake/reader/api/controller/BookmarkControllerKt,cfr,-41.52,-41.14,-40.46,26,0,0,0,0,.java,1,1,1
com/htmake/reader/api/controller/CURD,vf,4584.00,-249.48,-126.28,574,0,0,0,0,.kt,1,1,1
